node id, NULL, x, y, useless field, useless field
1078,NULL,120.372366666667,31.48405,4.2,NULL,2
1082,NULL,120.373813333333,31.4837466666667,15.8,NULL,2
1083,NULL,120.372791666667,31.4832666666667,43.3,NULL,2
1084,NULL,120.372021666667,31.4830066666667,105.5,NULL,2
1085,NULL,120.373686666667,31.4839233333333,16.2,NULL,2
1086,NULL,120.372601666667,31.484005,11.2,NULL,2
1087,NULL,120.373711666667,31.4838116666667,16,NULL,2
1093,NULL,120.372933333333,31.4839116666667,10,NULL,2
1094,NULL,120.37309,31.4839683333333,8.7,NULL,2
1095,NULL,120.37276,31.48388,10.6,NULL,2
1097,NULL,120.372376666667,31.48368,12.9,NULL,2
1098,NULL,120.372763333333,31.483725,14.3,NULL,2
1100,NULL,120.372486666667,31.4840083333333,11.9,NULL,2
1102,NULL,120.372496666667,31.48307,42949670.26,NULL,2
1103,NULL,120.373933333333,31.4834433333333,33.3,NULL,2
1105,NULL,120.372315,31.4837866666667,13.7,NULL,2
1106,NULL,120.372823333333,31.4840183333333,9.4,NULL,2
1107,NULL,120.373173333333,31.4837566666667,14.8,NULL,2
1110,NULL,120.37261,31.483875,10.8,NULL,2
1111,NULL,120.370215,31.48463,16.6,NULL,2
1112,NULL,120.370135,31.4842616666667,15.4,NULL,2
1113,NULL,120.370046666667,31.4833116666667,22,NULL,2
1114,NULL,120.36989,31.483375,21.1,NULL,2
1115,NULL,120.370435,31.483135,6,NULL,2
1116,NULL,120.369265,31.4835133333333,42.4,NULL,2
1118,NULL,120.370405,31.4836883333333,6.5,NULL,2
1119,NULL,120.370371666667,31.4841466666667,9.4,NULL,2
1120,NULL,120.3696,31.484095,59.8,NULL,2
1122,NULL,120.368903333333,31.483635,29.5,NULL,2
1123,NULL,120.368953333333,31.482855,18.4,NULL,2
1124,NULL,120.36899,31.4830883333333,16.9,NULL,2
1125,NULL,120.3699,31.483285,21.2,NULL,2
1126,NULL,120.370386666667,31.484,7.2,NULL,2
1127,NULL,120.370073333333,31.48353,38.6,NULL,2
1130,NULL,120.370456666667,31.48338,3.2,NULL,2
1131,NULL,120.370421666667,31.484085,10,NULL,2
1132,NULL,120.370093333333,31.4846883333333,10.9,NULL,2
1133,NULL,120.369513333333,31.4839416666667,38.3,NULL,2
1134,NULL,120.369068333333,31.48292,13.9,NULL,2
1135,NULL,120.368993333333,31.483095,16.9,NULL,2
1136,NULL,120.369848333333,31.4842833333333,28.3,NULL,2
